message_id,client_id,freelancer_id,message,sent_at
1,239,275,Can you sync the cuts to the beat?,2024-12-04 00:51:00
2,944,510,Please include a highlight reel at the start.,2024-05-10 17:42:23
3,814,175,I want a cinematic black bar effect.,2024-07-11 13:02:02
4,581,158,Please make the reels more dynamic.,2024-10-12 05:37:24
5,83,908,I need vertical and horizontal versions.,2024-06-26 22:27:47
6,556,86,Can you add motion blur effects?,2025-07-28 12:37:05
7,138,29,Can you add a split screen effect?,2024-07-27 09:02:45
8,587,743,I want a cinematic black bar effect.,2023-08-23 18:18:33
9,607,293,I need the video by Friday please.,2023-04-22 03:35:38
10,331,947,I need the audio levels balanced out.,2024-09-30 01:01:24
11,224,44,Can you add motion blur effects?,2025-07-08 01:27:06
12,326,324,Please add reaction zoom effects.,2025-10-30 03:03:04
13,718,596,I need vertical and horizontal versions.,2023-12-28 15:38:07
14,447,251,Can you add lower thirds with my name?,2025-11-04 14:49:42
15,738,832,Can you add motion blur effects?,2025-09-30 11:24:07
16,419,177,Please export with captions burned in.,2026-01-28 00:56:58
17,304,681,Please add reaction zoom effects.,2023-10-07 18:36:48
18,44,442,Please export in 4K resolution.,2023-04-29 09:24:10
19,344,680,I want the video to be under 60 seconds.,2025-08-26 21:51:12
20,527,28,Can you add a split screen effect?,2025-11-05 07:32:08
21,565,348,Can you add background music to the edit?,2023-10-30 12:40:10
22,210,742,Can you add background music to the edit?,2023-12-13 19:21:30
23,671,552,Please add reaction zoom effects.,2023-03-05 03:59:31
24,45,280,Please sync everything to the drum hits.,2025-04-10 13:05:41
25,873,872,Can you speed ramp the action scenes?,2025-12-30 12:54:33
26,877,161,Please add a custom intro animation.,2025-09-25 05:08:53
27,86,182,Can you add motion blur effects?,2023-05-27 22:02:27
28,973,849,Can you sync the cuts to the beat?,2023-04-29 19:31:51
29,382,768,Please remove the background noise.,2025-03-05 16:56:58
30,679,934,I need the video by Friday please.,2026-01-10 04:31:53
31,382,552,Can you add motion blur effects?,2024-11-07 18:23:16
32,557,428,I want upbeat music for the montage.,2025-02-15 06:50:29
33,412,306,Can you add subtitles to my video?,2023-06-11 20:41:59
34,782,597,I need the video by Friday please.,2025-04-04 23:05:10
35,335,269,Can you add a progress bar animation?,2025-04-14 21:31:31
36,60,399,I need a square format version too.,2024-04-20 01:23:46
37,769,137,I need a short teaser version as well.,2023-01-02 19:47:28
38,44,814,Please export in 4K resolution.,2023-10-04 07:41:44
39,584,951,Can you add animated charts and graphs?,2025-02-12 16:22:25
40,453,654,Please make the intro more impactful.,2025-01-16 16:09:32
41,251,852,Can you add my logo watermark?,2025-03-20 08:07:19
42,336,795,Can you add chapter markers in the edit?,2024-08-25 15:07:46
43,654,412,Please remove the background noise.,2024-09-12 14:49:33
44,767,319,I need the audio levels balanced out.,2026-03-04 04:52:40
45,122,611,Please use the song I sent you.,2026-01-30 08:53:46
46,133,223,Please remove the background noise.,2025-10-20 06:48:31
47,185,115,Please export with captions burned in.,2023-08-08 05:28:53
48,733,953,Please use the song I sent you.,2023-08-14 07:40:30
49,184,77,Please add text overlays with key points.,2023-10-12 15:32:41
50,18,313,Can you color match all the clips?,2023-04-10 16:44:42
51,47,292,I want a cinematic black bar effect.,2025-08-08 15:06:19
52,260,545,I need captions in English and Spanish.,2023-06-25 12:17:31
53,289,751,I need this for a pitch to investors.,2025-03-05 06:26:22
54,940,902,Please sync everything to the drum hits.,2026-04-15 08:21:02
55,883,717,I need the video by Friday please.,2023-05-21 05:13:04
56,483,884,Please export with captions burned in.,2024-11-24 23:13:48
57,158,846,Please add reaction zoom effects.,2024-09-23 10:08:42
58,603,625,Can you add a blurred background to interviews?,2025-08-10 13:02:18
59,285,590,Can you color match all the clips?,2025-03-29 18:14:26
60,99,668,I want a cinematic black bar effect.,2025-03-09 07:38:57
61,716,204,I need the video by Friday please.,2026-02-16 16:03:11
62,563,21,Can you color grade this footage?,2023-12-08 01:35:38
63,897,443,Please use the song I sent you.,2024-09-28 23:14:49
64,22,756,Can you color match all the clips?,2026-03-03 20:18:45
65,173,724,Can you add subtitles to my video?,2023-04-08 05:59:30
66,6,357,Please add text overlays with key points.,2026-03-08 07:18:09
67,166,553,Please use jump cuts for more energy.,2023-10-28 18:10:06
68,558,406,Please add text overlays with key points.,2023-05-31 00:36:17
69,4,330,I want the gaming footage to look more cinematic.,2023-03-14 10:24:41
70,335,830,Can you sync the cuts to the beat?,2024-02-25 00:01:34
71,251,908,Please make the intro more impactful.,2024-01-01 07:19:17
72,564,727,Can you add subtitles to my video?,2024-07-06 05:43:33
73,567,706,I want a cinematic black bar effect.,2024-10-11 13:33:14
74,863,830,Please export with captions burned in.,2023-09-23 20:12:49
75,676,798,Please sync everything to the drum hits.,2026-04-07 07:15:17
76,627,64,Can you color grade this footage?,2024-12-02 02:17:47
77,408,547,Can you color match all the clips?,2024-11-02 17:25:04
78,168,843,Can you add lower thirds with my name?,2026-03-21 04:24:17
79,447,956,Please add a smooth color grade.,2023-12-20 04:20:02
80,182,865,Can you add a progress bar animation?,2023-11-18 14:24:10
81,904,894,Can you add animated charts and graphs?,2025-08-05 00:35:33
82,915,395,I need a short teaser version as well.,2023-11-13 23:57:12
83,220,835,Please include a highlight reel at the start.,2024-09-25 09:02:17
84,922,765,How long will the delivery take?,2025-02-24 20:18:12
85,345,651,I need the video by Friday please.,2025-09-07 17:20:07
86,987,556,Please add reaction zoom effects.,2026-04-08 07:45:34
87,413,182,I need vertical and horizontal versions.,2024-12-07 22:59:56
88,108,254,Please use the song I sent you.,2025-05-08 01:38:35
89,313,989,I need the audio levels balanced out.,2023-06-19 03:08:40
90,1,997,Please add a custom intro animation.,2023-10-23 06:56:17
91,159,680,Can you add animated charts and graphs?,2023-09-01 23:50:22
92,206,922,Can you speed ramp the action scenes?,2026-01-18 23:49:46
93,624,157,Can you add background music to the edit?,2025-11-11 20:15:41
94,554,870,Can you add animated charts and graphs?,2026-02-10 01:00:13
95,995,230,I want a dreamy aesthetic for this vlog.,2023-10-18 13:42:44
96,473,755,Can you add a blurred background to interviews?,2026-02-05 17:50:45
97,877,65,Please make the intro more impactful.,2025-01-11 03:01:44
98,334,726,Please add reaction zoom effects.,2026-02-18 02:37:37
99,964,718,Please make the reels more dynamic.,2024-09-23 03:02:13
100,976,918,Please include a highlight reel at the start.,2025-02-05 04:40:58
101,395,98,Can you add a split screen effect?,2023-03-09 19:53:13
102,433,774,I want the gaming footage to look more cinematic.,2026-01-29 00:30:17
103,380,846,I need the logo animated in 3D.,2023-09-17 20:00:23
104,7,651,I want upbeat music for the montage.,2025-03-23 05:40:49
105,103,877,Can you add a split screen effect?,2024-02-19 04:09:02
106,254,789,Please add a custom intro animation.,2025-08-23 06:53:34
107,131,479,Can you add a blurred background to interviews?,2024-11-21 23:41:27
108,980,420,I need the video by Friday please.,2024-12-16 22:03:52
109,941,516,Can you color match all the clips?,2023-06-22 06:02:21
110,361,994,I need the logo animated in 3D.,2024-10-13 05:25:27
111,594,874,I want upbeat music for the montage.,2025-09-26 14:09:15
112,253,555,Can you color match all the clips?,2024-04-09 16:07:10
113,359,677,I need this for a pitch to investors.,2023-10-05 03:35:38
114,753,692,Please make the reels more dynamic.,2026-01-17 21:30:58
115,842,750,Can you add motion blur effects?,2025-12-26 01:38:12
116,401,386,Can you make the transitions smoother?,2025-12-17 10:11:39
117,977,842,I need vertical and horizontal versions.,2025-04-09 15:59:19
118,394,783,I want a cinematic black bar effect.,2025-08-08 11:25:34
119,891,363,Please sync everything to the drum hits.,2023-05-27 16:03:36
120,142,332,I want a vintage film look for this video.,2023-11-14 10:53:29
121,316,632,Can you add animated charts and graphs?,2025-07-10 19:13:37
122,580,913,I want a cinematic black bar effect.,2024-06-17 19:56:45
123,334,229,Can you add a blurred background to interviews?,2024-02-29 03:47:30
124,688,446,I want the gaming footage to look more cinematic.,2025-09-16 01:01:15
125,10,783,I want a vintage film look for this video.,2026-02-21 01:07:32
126,306,908,Please brighten the footage a bit more.,2025-06-19 07:02:47
127,883,623,Please make the reels more dynamic.,2024-11-22 16:44:02
128,275,643,Please include a highlight reel at the start.,2023-08-11 00:57:51
129,784,633,Can you add particle effects?,2024-10-19 12:29:52
130,605,312,Please add a custom intro animation.,2026-04-02 21:30:05
131,449,588,Please export with captions burned in.,2024-09-08 01:16:13
132,497,23,Can you add a progress bar animation?,2023-01-07 07:26:07
133,567,801,Can you add a blurred background to interviews?,2024-12-11 16:47:43
134,315,703,I need a short teaser version as well.,2025-02-12 23:55:25
135,262,573,I want a dreamy aesthetic for this vlog.,2025-12-01 08:25:17
